Disease,Hospital_Type,Hospital_Name,Cost,City,Address,Contact
Pneumonia,Govt,Government Hospital Venur,11000,Belthangady,"Venur, Belthangady Taluk - 574237",08256-230300
Tuberculosis,Private,Mahalasa Hospital Nelyadi,24000,Nelyadi,Nelyadi - 574221,08257-265900
Anaemia,Private,Mahatma Gandhi Memorial Hospital Belthangady,8000,Belthangady,Belthangady Main Road - 574214,08256-230500
Jaundice,Govt,Primary Health Centre Paladka,7000,Mulki,"Paladka, Mulki - 574154",0824-2296100
Hypertension,Private,Ullal Nursing Home,16500,Ullal,"Main Road, Ullal - 574146",0824-2279400
UTI,Private,Srinivasa Hospital Moodabidri,7000,Moodabidri,Moodabidri Main Road - 574227,0824-2386800
Surgery,Govt,Community Health Centre Sullia,46500,Sullia,Sullia Town - 574239,08257-233100
Asthma,Govt,Primary Health Centre Bellare,10000,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Appendicitis,Govt,Community Health Centre Moodabidri,21000,Moodabidri,Moodabidri Town - 574227,0824-2386100
Asthma,Govt,General Hospital Puttur,7500,Puttur,"Hospital Road, Puttur - 574201",08251-230295
Liver Disease,Private,Srinivasa Hospital Venur,69000,Venur,Venur - 574237,08256-262400
Malaria,Private,Unity Hospital Mangaluru,13500,Mangaluru,"Mangaladevi Road, Mangaluru - 575003",0824-2222222
Fracture,Govt,Community Health Centre Kadaba,14500,Kadaba,Kadaba Town - 574221,08257-265100
Fever,Private,Coastal Nursing Home Panemangalore,3500,Panemangalore,Panemangalore - 574236,0824-2239400
Typhoid,Govt,Primary Health Centre Kateel,5500,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Heart Disease,Private,Shree Kshethra Dharmasthala RDPR Hospital,147000,Dharmasthala,Dharmasthala - 574216,08256-277444
Heart Disease,Private,Srinivasa Hospital Venur,154000,Venur,Venur - 574237,08256-262400
Surgery,Govt,Primary Health Centre Venur,42500,Venur,Venur Town - 574237,08256-262100
Kidney Stone,Govt,Primary Health Centre Dharmasthala,17500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Skin Disease,Govt,Urban Primary Health Centre Bunder,2000,Mangaluru,"Bunder, Mangaluru - 575001",0824-2440101
Typhoid,Private,Srinivasa Clinic Panemangalore,13000,Panemangalore,Panemangalore - 574236,0824-2239300
Dengue,Private,Shridhar Hospital Mulki,14000,Mulki,Mulki Junction - 574154,0824-2296300
Kidney Stone,Govt,Primary Health Centre Ullal,20500,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Dengue,Govt,Community Health Centre Belthangady,7500,Belthangady,Belthangady Town - 574214,08256-230100
Tuberculosis,Govt,Government Dispensary Moodabidri,5500,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Pneumonia,Private,Mahalasa Hospital Nelyadi,25500,Nelyadi,Nelyadi - 574221,08257-265900
Surgery,Govt,Primary Health Centre Panambur,55000,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Fracture,Private,Saraswathi Hospital Uppinangady,25500,Uppinangady,Uppinangady - 574241,08251-232500
Jaundice,Private,Coastal Hospital Surathkal,18000,Surathkal,"Surathkal Road, Mangaluru - 575014",0824-2478002
UTI,Govt,Community Health Centre Mulki,5500,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Thyroid Disorder,Private,Srinivasa Hospital Mulki,12000,Mulki,"Main Road, Mulki - 574154",0824-2296200
Malaria,Private,Bhagavathi Hospital Belthangady,16000,Belthangady,Belthangady - 574214,08256-230600
Kidney Stone,Private,Canara Hospital Puttur,32000,Puttur,Puttur Main Road - 574201,08251-231500
Tuberculosis,Govt,Community Health Centre Kadaba,4500,Kadaba,Kadaba Town - 574221,08257-265100
Liver Disease,Private,Mahalasa Hospital Nelyadi,57500,Nelyadi,Nelyadi - 574221,08257-265900
Thyroid Disorder,Govt,Community Health Centre Puttur,5500,Puttur,Puttur Town - 574201,08251-230300
Asthma,Govt,Primary Health Centre Bellare,7000,Sullia,"Bellare, Sullia Taluk - 574212",08257-233200
Typhoid,Govt,Community Health Centre Puttur,6000,Puttur,Puttur Town - 574201,08251-230300
Thyroid Disorder,Private,Durgaparameshwari Hospital Kateel,12500,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Diabetes,Private,Venur Hospital,11500,Venur,"Main Road, Venur - 574237",08256-262200
Pneumonia,Govt,Government Hospital Ujire,11000,Ujire,Ujire Town - 574240,08256-248100
Kidney Stone,Private,Prakash Hospital Surathkal,37500,Surathkal,"NH 66 Surathkal, Mangaluru - 575014",0824-2476001
Diabetes,Govt,Primary Health Centre Panambur,6500,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Jaundice,Private,KVG Medical College & Hospital Puttur Road,27000,Puttur,"Sullia Road, Puttur - 574201",08251-230600
Asthma,Private,Mahalasa Hospital Nelyadi,19000,Nelyadi,Nelyadi - 574221,08257-265900
Gastroenteritis,Govt,Community Health Centre Belthangady,6000,Belthangady,Belthangady Town - 574214,08256-230100
Pneumonia,Private,Prashanth Hospital Puttur,20000,Puttur,"Town Hall Road, Puttur - 574201",08251-231200
Appendicitis,Private,Shridhar Hospital Nanthoor,63500,Nanthoor,"Main Road, Nanthoor - 574219",08255-239200
Hypertension,Private,Dharmasthala Rural Hospital,19000,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Jaundice,Govt,Primary Health Centre Bellare,9500,Sullia,"Bellare, Sullia Taluk - 574212",08257-233200
Tuberculosis,Govt,Primary Health Centre Panambur,4000,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Kidney Stone,Govt,Government Hospital Kukke Subramanya,17500,Subramanya,Subramanya Town - 574238,08257-258011
Hypertension,Private,Srinivasa Hospital Mulki,12000,Mulki,"Main Road, Mulki - 574154",0824-2296200
Kidney Stone,Govt,Community Health Sub-Centre Panemangalore,17000,Panemangalore,Panemangalore - 574236,0824-2239100
Pneumonia,Private,Dharmasthala Rural Hospital,25000,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Eye Disease,Govt,Taluk Hospital Sullia,11500,Sullia,"Hospital Road, Sullia - 574239",08257-233010
Malaria,Govt,Community Health Centre Moodabidri,7000,Moodabidri,Moodabidri Town - 574227,0824-2386100
Tuberculosis,Govt,Community Health Centre Dharmasthala,5500,Dharmasthala,Dharmasthala - 574216,08256-277011
Fever,Private,Netravathi Hospital Uppinangady,5000,Uppinangady,"Main Road, Uppinangady - 574241",08251-232200
Eye Disease,Govt,Government Hospital Uppinangady,14500,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Eye Disease,Private,Durgaparameshwari Hospital Subramanya,26500,Subramanya,Subramanya - 574238,08257-258300
Dengue,Private,Mahalasa Hospital Nelyadi,13000,Nelyadi,Nelyadi - 574221,08257-265900
Kidney Stone,Govt,Primary Health Centre Naravi,21000,Belthangady,"Naravi, Belthangady - 574214",08256-230200
Pregnancy,Govt,Primary Health Centre Venur,27000,Venur,Venur Town - 574237,08256-262100
Dengue,Private,Sharada Hospital Puttur,16500,Puttur,Puttur - 574201,08251-231400
Kidney Stone,Govt,Primary Health Centre Vittal,23000,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Dengue,Govt,Primary Health Centre Paladka,6000,Mulki,"Paladka, Mulki - 574154",0824-2296100
Malaria,Private,Srinivasa Clinic Panemangalore,14000,Panemangalore,Panemangalore - 574236,0824-2239300
Anaemia,Private,Srinivasa Hospital Venur,11500,Venur,Venur - 574237,08256-262400
Appendicitis,Govt,Primary Health Centre Ujire,20000,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Fever,Private,Narayana Hospital Panambur,5500,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Pregnancy,Govt,Primary Health Centre Dharmasthala,16500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Ear Infection,Private,Dhanvanthari Hospital Puttur,9500,Puttur,Puttur - 574201,08251-231300
Kidney Stone,Govt,Primary Health Centre Nelyadi,20500,Kadaba,"Nelyadi, Kadaba - 574221",08257-265200
Fracture,Private,Sai Sanjeevini Hospital Gurupura,23000,Gurupura,Gurupura - 575016,0824-2284300
Typhoid,Private,Ullal Nursing Home,8500,Ullal,"Main Road, Ullal - 574146",0824-2279400
Gastroenteritis,Govt,Community Health Centre Sullia,6000,Sullia,Sullia Town - 574239,08257-233100
Malaria,Private,Sahyadri Clinic Bellare,13500,Bellare,Bellare - 574212,08257-261400
Heart Disease,Govt,Primary Health Centre Bellare,78000,Sullia,"Bellare, Sullia Taluk - 574212",08257-233200
Typhoid,Private,Shree Hospital Uppinangady,9000,Uppinangady,Uppinangady - 574241,08251-232300
Asthma,Govt,Government Hospital Kukke Subramanya,8000,Subramanya,Subramanya Town - 574238,08257-258011
Hypertension,Private,Shanthi Hospital Gurupura,13500,Gurupura,Gurupura - 575016,0824-2284400
Skin Disease,Private,Yenepoya Specialty Hospital,6500,Mangaluru,"Deralakatte, Mangaluru - 575018",0824-2204000
Malaria,Govt,Government Maternity Hospital Puttur,7000,Puttur,Puttur - 574201,08251-230400
Thyroid Disorder,Govt,Government Hospital Venur,6000,Belthangady,"Venur, Belthangady Taluk - 574237",08256-230300
Anaemia,Govt,Community Health Sub-Centre Kinnigoli,4000,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Appendicitis,Govt,Primary Health Centre Subramanya,34000,Subramanya,Subramanya - 574238,08257-258100
Appendicitis,Private,Ullal Nursing Home,63500,Ullal,"Main Road, Ullal - 574146",0824-2279400
Skin Disease,Govt,Government Dispensary Moodabidri,2500,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Gastroenteritis,Private,Karavali Hospital Mulki,11000,Mulki,"NH 66, Mulki - 574154",0824-2296400
Diabetes,Govt,Primary Health Centre Vittal,5500,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Dengue,Private,Alva's Health Centre Moodabidri,15500,Moodabidri,"Alva's Education Foundation, Moodabidri - 574227",0824-2386500
Ear Infection,Private,Pooja Hospital Uppinangady,9500,Uppinangady,Uppinangady - 574241,08251-232400
Cancer,Private,AJ Hospital & Research Centre Bejai,195500,Mangaluru,"NH 66, Kuntikana, Bejai, Mangaluru - 575004",0824-2225533
Dengue,Private,Sealand Hospital Ullal,14500,Ullal,"Someshwara, Ullal - 574146",0824-2278001
Thyroid Disorder,Private,Kinnigoli Hospital,16000,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
Asthma,Private,Prakash Hospital Bantwal,17500,Bantwal,"Main Road, Bantwal - 574219",08255-232800
Cancer,Private,Srinivasa Hospital Mulki,166000,Mulki,"Main Road, Mulki - 574154",0824-2296200
Cancer,Govt,Community Health Centre Vamanapadavu,88000,Bantwal,"Vamanapadavu, Bantwal - 574241",08255-232200
Ear Infection,Private,Shree Kshethra Dharmasthala RDPR Hospital,7000,Dharmasthala,Dharmasthala - 574216,08256-277444
Typhoid,Govt,Government Hospital Ullal,4000,Ullal,"Ullal Town, Dakshina Kannada - 574146",0824-2279011
Malaria,Govt,Taluk Hospital Belthangady,6000,Belthangady,"Hospital Road, Belthangady - 574214",08256-230011
Ear Infection,Govt,Government Ayurvedic Hospital Mangaluru,4000,Mangaluru,"Court Road, Mangaluru - 575001",0824-2426555
Kidney Stone,Private,Srinivasa Hospital Venur,35500,Venur,Venur - 574237,08256-262400
UTI,Private,Kalanjali Hospital Vittal,11500,Vittal,Vittal - 574243,08255-231500
Ear Infection,Private,Crescent Hospital Ullal,11000,Ullal,Ullal - 574146,0824-2279300
Pneumonia,Private,Pooja Hospital Uppinangady,15500,Uppinangady,Uppinangady - 574241,08251-232400
Pregnancy,Govt,Primary Health Centre Nelyadi,27500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Appendicitis,Private,Narayana Hrudayalaya Surathkal,64000,Surathkal,"NITK Road, Surathkal, Mangaluru - 575014",0824-2470000
Asthma,Private,Shree Kshethra Dharmasthala RDPR Hospital,18500,Dharmasthala,Dharmasthala - 574216,08256-277444
Surgery,Govt,Primary Health Centre Subramanya,51500,Subramanya,Subramanya - 574238,08257-258100
Hypertension,Govt,Government Hospital Kateel,4500,Kateel,Kateel Town - 574272,0824-2298100
Cancer,Govt,Urban Primary Health Centre Bunder,93000,Mangaluru,"Bunder, Mangaluru - 575001",0824-2440101
Fever,Private,City Medical Centre Moodabidri,4500,Moodabidri,Moodabidri - 574227,0824-2386900
Cancer,Private,Narayana Hrudayalaya Surathkal,186000,Surathkal,"NITK Road, Surathkal, Mangaluru - 575014",0824-2470000
Eye Disease,Private,SDM Ayurvedic Hospital Dharmasthala,36500,Dharmasthala,Dharmasthala - 574216,08256-277333
Fracture,Private,Dawa Hospital Ullal,23000,Ullal,Ullal Town Road - 574146,0824-2279200
Cancer,Govt,Primary Health Centre Nanthoor,120500,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Heart Disease,Govt,Primary Health Centre Nanthoor,78000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Diabetes,Private,Srinivasa Hospital Mulki,15000,Mulki,"Main Road, Mulki - 574154",0824-2296200
Kidney Stone,Private,Kateel Medical Centre,40500,Kateel,"Main Road, Kateel - 574272",0824-2298300
Surgery,Private,Dharmasthala Rural Hospital,67500,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Eye Disease,Private,Shanthi Hospital Kadaba,29500,Kadaba,Kadaba Town - 574221,08257-265700
Heart Disease,Private,Kateel Medical Centre,163500,Kateel,"Main Road, Kateel - 574272",0824-2298300
Eye Disease,Private,Srinivas Hospital Surathkal,37500,Surathkal,"Surathkal Main Road, Mangaluru - 575014",0824-2474500
Asthma,Private,Prakash Hospital Surathkal,20000,Surathkal,"NH 66 Surathkal, Mangaluru - 575014",0824-2476001
Jaundice,Govt,Primary Health Centre Panambur,9000,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Skin Disease,Private,Dharmasthala Rural Hospital,11500,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Surgery,Govt,Primary Health Centre Dharmasthala,38000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Hypertension,Govt,Community Health Centre Mulki,4500,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Fracture,Govt,Primary Health Centre Ujire,13000,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Anaemia,Govt,Government Hospital Kukke Subramanya,4500,Subramanya,Subramanya Town - 574238,08257-258011
Skin Disease,Govt,Government Ayurvedic Dispensary Puttur,3000,Puttur,"Market Road, Puttur - 574201",08251-230500
Surgery,Private,Kinnigoli Hospital,81500,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
Fever,Private,Panemangalore Hospital,5000,Panemangalore,"Main Road, Panemangalore - 574236",0824-2239200
Pregnancy,Private,Shree Kshethra Dharmasthala RDPR Hospital,57000,Dharmasthala,Dharmasthala - 574216,08256-277444
Heart Disease,Govt,Primary Health Centre Nelyadi,82500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Fracture,Private,Kalanjali Hospital Vittal,29000,Vittal,Vittal - 574243,08255-231500
Heart Disease,Govt,Government Hospital Vittal,96000,Vittal,"Main Road, Vittal - 574243",08255-231100
Hypertension,Private,Lourdes Hospital Mangaluru,12500,Mangaluru,"Bendore, Mangaluru - 575002",0824-2443333
Anaemia,Private,Sai Sanjeevini Hospital Gurupura,9500,Gurupura,Gurupura - 575016,0824-2284300
Thyroid Disorder,Govt,Government Hospital Surathkal,6000,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Fever,Govt,Government Hospital Kateel,1500,Kateel,Kateel Town - 574272,0824-2298100
Ear Infection,Govt,Government Dispensary Bellare,4500,Bellare,Bellare Town - 574212,08257-261100
Cancer,Private,Sri Krishna Hospital Sullia,163500,Sullia,Sullia Main Road - 574239,08257-234400
UTI,Govt,Wenlock District Hospital,4500,Mangaluru,"Bibi Alabi Road, Hampankatta, Mangaluru - 575001",0824-2421351
Anaemia,Govt,Government Hospital Kateel,5000,Kateel,Kateel Town - 574272,0824-2298100
Jaundice,Private,Shanthi Hospital Kadaba,25500,Kadaba,Kadaba Town - 574221,08257-265700
Hypertension,Private,Srinivasa Hospital Panambur,13500,Panambur,"Panambur Road, Mangaluru - 575010",0824-2408200
Kidney Stone,Govt,Primary Health Centre Nanthoor,21000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Cancer,Govt,Primary Health Centre Bellare,123500,Sullia,"Bellare, Sullia Taluk - 574212",08257-233200
Fever,Private,Father Muller Medical College Hospital,4500,Mangaluru,"Father Muller Road, Kankanady, Mangaluru - 575002",0824-2238000
Typhoid,Private,Sahyadri Clinic Bellare,12500,Bellare,Bellare - 574212,08257-261400
Gastroenteritis,Private,Shridhar Hospital Nanthoor,10000,Nanthoor,"Main Road, Nanthoor - 574219",08255-239200
Gastroenteritis,Govt,Community Health Centre Kadaba,3500,Kadaba,Kadaba Town - 574221,08257-265100
Thyroid Disorder,Private,Kalanjali Hospital Vittal,13000,Vittal,Vittal - 574243,08255-231500
Kidney Stone,Private,Durgaparameshwari Hospital Kadaba,36500,Kadaba,Kadaba - 574221,08257-265600
Cancer,Private,Sai Sanjeevini Hospital Kinnigoli,168000,Kinnigoli,Kinnigoli - 574150,0824-2293300
Gastroenteritis,Private,Ullal Nursing Home,8500,Ullal,"Main Road, Ullal - 574146",0824-2279400
Appendicitis,Govt,Primary Health Centre Bellare,28000,Sullia,"Bellare, Sullia Taluk - 574212",08257-233200
Thyroid Disorder,Govt,Government Hospital Uppinangady,6000,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Surgery,Govt,Taluk Hospital BC Road Bantwal,48000,Bantwal,"BC Road, Bantwal - 574219",08255-232024
Diabetes,Govt,Port Trust Hospital Panambur,9500,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Typhoid,Private,Netravathi Hospital Ujire,9000,Ujire,"Main Road, Ujire - 574240",08256-248200
Asthma,Govt,Community Health Centre Mulki,8000,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Ear Infection,Govt,Government Hospital Mulki,4000,Mulki,"Town Road, Mulki - 574154",0824-2296022
Diabetes,Private,Narayana Hospital Panambur,13500,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Tuberculosis,Private,Sri Sai Hospital Nanthoor,16500,Nanthoor,Nanthoor - 574219,08255-239400
Pregnancy,Private,Narayana Hospital Panambur,59000,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Pneumonia,Govt,Primary Health Centre Nanthoor,13000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Typhoid,Govt,Government Hospital Bantwal PHC,5500,Bantwal,"Bantwal Town, DK - 574219",08255-232100
Anaemia,Govt,Primary Health Centre Dharmasthala,3500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Appendicitis,Private,Netravathi Hospital Uppinangady,43000,Uppinangady,"Main Road, Uppinangady - 574241",08251-232200
Skin Disease,Private,Prashanth Hospital Puttur,6500,Puttur,"Town Hall Road, Puttur - 574201",08251-231200
Kidney Stone,Govt,Government Hospital Ujire,22000,Ujire,Ujire Town - 574240,08256-248100
Thyroid Disorder,Private,Pooja Hospital Uppinangady,11500,Uppinangady,Uppinangady - 574241,08251-232400
Gastroenteritis,Govt,Primary Health Centre Uppinangady,3000,Uppinangady,Uppinangady Town - 574241,08251-232100
Hypertension,Govt,Taluk Hospital BC Road Bantwal,6500,Bantwal,"BC Road, Bantwal - 574219",08255-232024
Eye Disease,Govt,Community Health Centre Mulki,6000,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Liver Disease,Private,KVG Medical College Hospital Sullia,53500,Sullia,"Kurunjibag, Sullia - 574327",08257-232608
Kidney Stone,Govt,Government Hospital Surathkal,22500,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Pregnancy,Private,Coastal Nursing Home Panemangalore,55500,Panemangalore,Panemangalore - 574236,0824-2239400
Diabetes,Private,Saraswathi Hospital Uppinangady,15500,Uppinangady,Uppinangady - 574241,08251-232500
Malaria,Private,Sri Krishna Hospital Sullia,17000,Sullia,Sullia Main Road - 574239,08257-234400
Fever,Private,SDM Ayurvedic Hospital Dharmasthala,5500,Dharmasthala,Dharmasthala - 574216,08256-277333
Typhoid,Private,Dharmasthala Rural Hospital,9000,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Jaundice,Private,Sealand Hospital Ullal,16500,Ullal,"Someshwara, Ullal - 574146",0824-2278001
UTI,Private,Sai Sanjeevini Hospital Gurupura,7500,Gurupura,Gurupura - 575016,0824-2284300
Eye Disease,Govt,Primary Health Centre Venur,7000,Venur,Venur Town - 574237,08256-262100
Cancer,Govt,Community Health Sub-Centre Panemangalore,103500,Panemangalore,Panemangalore - 574236,0824-2239100
Pneumonia,Govt,Community Health Centre Gurupura,8500,Gurupura,Gurupura - 575016,0824-2284100
Fracture,Govt,Government Hospital Venur,14500,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Dengue,Private,Narayana Hrudayalaya Surathkal,12500,Surathkal,"NITK Road, Surathkal, Mangaluru - 575014",0824-2470000
Eye Disease,Private,Saraswathi Hospital Uppinangady,31500,Uppinangady,Uppinangady - 574241,08251-232500
Pregnancy,Govt,Community Health Centre Moodabidri,27500,Moodabidri,Moodabidri Town - 574227,0824-2386100
Thyroid Disorder,Private,Coastal Hospital Surathkal,16000,Surathkal,"Surathkal Road, Mangaluru - 575014",0824-2478002
Liver Disease,Private,Bhagavathi Hospital Belthangady,77500,Belthangady,Belthangady - 574214,08256-230600
Dengue,Govt,Primary Health Centre Uppinangady,7000,Uppinangady,Uppinangady Town - 574241,08251-232100
Ear Infection,Govt,Port Trust Hospital Panambur,3000,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Jaundice,Govt,Community Health Sub-Centre Kinnigoli,7500,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Appendicitis,Govt,Government Hospital Uppinangady,23500,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Tuberculosis,Govt,Government Dispensary Bellare,4000,Bellare,Bellare Town - 574212,08257-261100
Hypertension,Private,Srinivasa Hospital Sullia,19500,Sullia,"Main Road, Sullia - 574239",08257-234001
Thyroid Disorder,Private,Srinivasa Hospital Venur,15000,Venur,Venur - 574237,08256-262400
Tuberculosis,Private,Yenepoya Medical College Hospital,18000,Mangaluru,"University Road, Deralakatte, Mangaluru - 575018",0824-2204668
Appendicitis,Private,Kateel Medical Centre,51500,Kateel,"Main Road, Kateel - 574272",0824-2298300
Typhoid,Govt,Government Dispensary Nelyadi,6000,Nelyadi,Nelyadi Town - 574221,08257-265300
Pneumonia,Private,Bellare Hospital,21500,Bellare,"Main Road, Bellare - 574212",08257-261200
Cancer,Govt,Government Hospital Surathkal,96000,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Surgery,Private,Mahalasa Hospital Nelyadi,66500,Nelyadi,Nelyadi - 574221,08257-265900
Pregnancy,Govt,Government Hospital Surathkal,26500,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Eye Disease,Govt,Primary Health Centre Kateel,10000,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Gastroenteritis,Govt,Primary Health Centre Vittal,4500,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Pregnancy,Govt,Urban Primary Health Centre Bunder,24000,Mangaluru,"Bunder, Mangaluru - 575001",0824-2440101
UTI,Private,Narayana Hospital Panambur,7500,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Liver Disease,Govt,Primary Health Centre Vittal,33000,Bantwal,"Vittal, Bantwal Taluk - 574243",08255-231011
Malaria,Private,Panchalingeshwara Hospital Vittal,11500,Vittal,Vittal Town - 574243,08255-231300
Dengue,Govt,Government Hospital Bantwal PHC,7000,Bantwal,"Bantwal Town, DK - 574219",08255-232100
Asthma,Govt,Government Dispensary Nelyadi,7000,Nelyadi,Nelyadi Town - 574221,08257-265300
Liver Disease,Private,Coastal Care Hospital Panambur,82000,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Tuberculosis,Govt,Government Hospital Kateel,5500,Kateel,Kateel Town - 574272,0824-2298100
Ear Infection,Govt,Community Health Centre Puttur,4500,Puttur,Puttur Town - 574201,08251-230300
Heart Disease,Private,Nanthoor Community Hospital,158000,Nanthoor,Nanthoor - 574219,08255-239300
Liver Disease,Private,Justice KS Hegde Charitable Hospital,76000,Mangaluru,"Deralakatte, Mangaluru - 575018",0824-2204360
Cancer,Private,Sahyadri Hospital Vittal,155000,Vittal,"NH 75, Vittal - 574243",08255-231400
Hypertension,Private,Srinivasa Clinic Panemangalore,15500,Panemangalore,Panemangalore - 574236,0824-2239300
Cancer,Govt,Community Health Centre Ullal,119000,Ullal,Ullal Main Road - 574146,0824-2279100
Appendicitis,Private,Sahyadri Clinic Bellare,44000,Bellare,Bellare - 574212,08257-261400
Gastroenteritis,Private,Mahalasa Hospital Nelyadi,12500,Nelyadi,Nelyadi - 574221,08257-265900
Pneumonia,Private,SDM Medical College Hospital Ujire,22500,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Asthma,Govt,Primary Health Centre Panambur,8500,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Thyroid Disorder,Govt,Primary Health Centre Kinnigoli,6500,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Fracture,Private,Coastal Care Hospital Panambur,32000,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Jaundice,Private,City Medical Centre Moodabidri,26500,Moodabidri,Moodabidri - 574227,0824-2386900
Anaemia,Govt,Primary Health Centre Venur,4500,Venur,Venur Town - 574237,08256-262100
Heart Disease,Private,Srinivasa Hospital Panambur,155000,Panambur,"Panambur Road, Mangaluru - 575010",0824-2408200
Liver Disease,Private,Sharavathi Hospital Subramanya,89000,Subramanya,"Temple Road, Subramanya - 574238",08257-258400
Pregnancy,Private,Crescent Hospital Ullal,52500,Ullal,Ullal - 574146,0824-2279300
Eye Disease,Govt,Community Health Centre Moodabidri,10500,Moodabidri,Moodabidri Town - 574227,0824-2386100
Cancer,Private,Durgaparameshwari Hospital Kadaba,193500,Kadaba,Kadaba - 574221,08257-265600
Eye Disease,Govt,Primary Health Centre Naravi,12000,Belthangady,"Naravi, Belthangady - 574214",08256-230200
